AREA:SIERRA
MODE_S
N045.10.10.825 E015.49.17.633
N047.36.27.000 E012.08.43.000
N047.36.22.000 E012.07.48.000
N047.36.22.000 E012.07.48.000
N047.36.31.000 E012.07.13.000
N047.36.31.000 E012.07.13.000
N047.36.40.000 E012.06.51.000
N047.36.40.000 E012.06.51.000
N047.36.42.000 E012.06.34.000
N047.36.42.000 E012.06.34.000
N047.36.35.000 E012.04.56.000
N047.36.35.000 E012.04.56.000
N047.36.48.000 E012.04.41.000
N047.36.48.000 E012.04.41.000
N047.36.56.000 E012.04.09.000
N047.36.56.000 E012.04.09.000
N047.37.07.000 E012.03.51.000
N047.37.07.000 E012.03.51.000
N047.37.03.000 E012.03.36.000
N047.37.03.000 E012.03.36.000
N047.36.53.000 E012.02.58.000
N047.36.53.000 E012.02.58.000
N047.37.03.000 E012.02.14.000
N047.37.03.000 E012.02.14.000
N047.36.55.000 E012.01.60.000
N047.36.55.000 E012.01.60.000
N047.36.42.000 E012.01.47.000
N047.36.42.000 E012.01.47.000
N047.36.41.000 E012.01.25.000
N047.36.41.000 E012.01.25.000
N047.36.43.000 E012.01.10.000
N047.36.43.000 E012.01.10.000
N047.37.18.000 E012.00.44.000
N047.37.18.000 E012.00.44.000
N047.37.30.000 E012.00.30.000
N047.37.30.000 E012.00.30.000
N047.37.17.000 E011.59.58.000
N047.37.17.000 E011.59.58.000
N047.37.07.000 E011.58.51.000
N047.37.07.000 E011.58.51.000
N047.36.46.000 E011.58.34.000
N047.36.46.000 E011.58.34.000
N047.36.59.000 E011.58.17.000
N047.36.59.000 E011.58.17.000
N047.37.02.000 E011.58.05.000
N047.37.02.000 E011.58.05.000
N047.36.45.000 E011.55.59.000
N047.36.45.000 E011.55.59.000
N047.36.34.000 E011.54.24.000
N047.36.34.000 E011.54.24.000
N047.36.29.000 E011.54.08.000
N047.36.29.000 E011.54.08.000
N047.36.06.000 E011.51.53.000
N047.36.06.000 E011.51.53.000
N047.36.08.000 E011.51.17.000
N047.36.08.000 E011.51.17.000
N047.34.55.000 E011.50.42.000
N047.34.55.000 E011.50.42.000
N047.34.53.000 E011.50.25.000
N047.34.53.000 E011.50.25.000
N047.34.55.000 E011.49.45.000
N047.34.55.000 E011.49.45.000
N047.35.06.000 E011.49.07.000
N047.35.06.000 E011.49.07.000
N047.35.15.000 E011.47.22.000
N047.35.15.000 E011.47.22.000
N047.35.22.000 E011.46.20.000
N047.35.22.000 E011.46.20.000
N047.35.24.000 E011.46.02.000
N047.35.24.000 E011.46.02.000
N047.35.19.000 E011.45.25.000
N047.35.19.000 E011.45.25.000
N047.35.20.000 E011.43.23.000
N047.35.20.000 E011.43.23.000
N047.35.12.000 E011.41.22.000
N047.35.12.000 E011.41.22.000
N047.35.06.000 E011.41.11.000
N047.35.06.000 E011.41.11.000
N047.35.03.000 E011.40.41.000
N047.35.03.000 E011.40.41.000
N047.35.07.000 E011.40.13.000
N047.35.07.000 E011.40.13.000
N047.35.00.000 E011.39.49.000
N047.35.00.000 E011.39.49.000
N047.35.01.000 E011.39.37.000
N047.35.01.000 E011.39.37.000
N047.35.09.000 E011.39.19.000
N047.35.09.000 E011.39.19.000
N047.35.20.000 E011.39.05.000
N047.35.20.000 E011.39.05.000
N047.35.22.000 E011.38.45.000
N047.35.22.000 E011.38.45.000
N047.35.26.000 E011.38.35.000
N047.35.26.000 E011.38.35.000
N047.35.37.000 E011.38.17.000
N047.35.37.000 E011.38.17.000
N047.35.33.000 E011.38.01.000
N047.35.33.000 E011.38.01.000
N047.35.22.000 E011.37.57.000
N047.35.22.000 E011.37.57.000
N047.34.55.000 E011.38.03.000
N047.34.55.000 E011.38.03.000
N047.34.50.000 E011.37.51.000
N047.34.50.000 E011.37.51.000
N047.34.55.000 E011.37.35.000
N047.34.55.000 E011.37.35.000
N047.35.03.000 E011.37.20.000
N047.35.03.000 E011.37.20.000
N047.34.51.000 E011.36.55.000
N047.34.51.000 E011.36.55.000
N047.34.50.000 E011.36.36.000
N047.34.50.000 E011.36.36.000
N047.34.54.000 E011.36.25.000
N047.34.54.000 E011.36.25.000
N047.34.22.000 E011.36.06.000
N047.34.22.000 E011.36.06.000
N047.33.48.000 E011.35.50.000
N047.33.48.000 E011.35.50.000
N047.33.42.000 E011.35.38.000
N047.33.42.000 E011.35.38.000
N047.33.27.000 E011.35.18.000
N047.33.27.000 E011.35.18.000
N047.33.06.000 E011.35.22.000
N047.33.06.000 E011.35.22.000
N047.32.43.000 E011.35.08.000
N047.32.43.000 E011.35.08.000
N047.32.21.000 E011.35.15.000
N047.32.21.000 E011.35.15.000
N047.31.49.000 E011.35.16.000
N047.31.49.000 E011.35.16.000
N047.31.15.000 E011.34.48.000
N047.31.15.000 E011.34.48.000
N047.31.01.000 E011.34.32.000
N047.31.01.000 E011.34.32.000
N047.30.49.000 E011.34.07.000
N047.30.49.000 E011.34.07.000
N047.30.44.000 E011.33.10.000
N047.30.44.000 E011.33.10.000
N047.30.34.000 E011.32.21.000
N047.30.34.000 E011.32.21.000
N047.30.35.000 E011.31.19.000
N047.30.35.000 E011.31.19.000
N047.30.22.000 E011.30.45.000
N047.30.22.000 E011.30.45.000
N047.30.17.000 E011.30.20.000
N047.30.17.000 E011.30.20.000
N047.30.25.000 E011.29.36.000
N047.30.25.000 E011.29.36.000
N047.30.28.000 E011.29.17.000
N047.30.28.000 E011.29.17.000
N047.30.33.000 E011.28.52.000
N047.30.33.000 E011.28.52.000
N047.30.31.000 E011.27.14.000
N047.30.31.000 E011.27.14.000
N047.30.37.000 E011.26.52.000
N047.30.37.000 E011.26.52.000
N047.30.57.000 E011.26.31.000
N047.30.57.000 E011.26.31.000
N047.30.56.000 E011.26.17.000
N047.30.56.000 E011.26.17.000
N047.30.48.000 E011.25.58.000
N047.30.48.000 E011.25.58.000
N047.30.28.000 E011.25.30.000
N047.30.28.000 E011.25.30.000
N047.30.16.000 E011.25.15.000
N047.30.16.000 E011.25.15.000
N047.30.08.000 E011.24.59.000
N047.30.08.000 E011.24.59.000
N047.29.55.000 E011.24.46.000
N047.29.55.000 E011.24.46.000
N047.29.41.000 E011.24.35.000
N047.29.41.000 E011.24.35.000
N047.29.31.000 E011.24.30.000
N047.29.31.000 E011.24.30.000
N047.29.25.000 E011.24.22.000
N047.29.25.000 E011.24.22.000
N047.29.14.000 E011.24.01.000
N047.29.14.000 E011.24.01.000
N047.29.02.000 E011.23.52.000
N047.29.02.000 E011.23.52.000
N047.28.59.000 E011.23.46.000
N047.28.59.000 E011.23.46.000
N047.28.55.000 E011.23.26.000
N047.28.55.000 E011.23.26.000
N047.28.38.000 E011.23.12.000
N047.28.38.000 E011.23.12.000
N047.28.26.000 E011.23.06.000
N047.28.26.000 E011.23.06.000
N047.28.05.000 E011.23.18.000
N047.28.05.000 E011.23.18.000
N047.27.58.000 E011.23.47.000
N047.27.58.000 E011.23.47.000
N047.28.00.000 E011.24.23.000
N047.28.00.000 E011.24.23.000
N047.27.51.000 E011.24.30.000
N047.27.51.000 E011.24.30.000
N047.27.28.000 E011.24.45.000
N047.27.28.000 E011.24.45.000
N047.26.40.000 E011.25.16.000
N047.26.40.000 E011.25.16.000
N047.26.45.000 E011.25.02.000
N047.26.45.000 E011.25.02.000
N047.26.48.000 E011.24.35.000
N047.26.48.000 E011.24.35.000
N047.26.49.000 E011.24.15.000
N047.26.49.000 E011.24.15.000
N047.26.51.000 E011.23.44.000
N047.26.51.000 E011.23.44.000
N047.26.54.000 E011.23.06.000
N047.26.54.000 E011.23.06.000
N047.26.43.000 E011.22.16.000
N047.26.43.000 E011.22.16.000
N047.26.48.000 E011.21.44.000
N047.26.48.000 E011.21.44.000
N047.26.51.000 E011.20.60.000
N047.26.51.000 E011.20.60.000
N047.26.59.000 E011.20.19.000
N047.26.59.000 E011.20.19.000
N047.26.41.000 E011.19.56.000
N047.26.41.000 E011.19.56.000
N047.26.28.000 E011.19.48.000
N047.26.28.000 E011.19.48.000
N047.26.14.000 E011.19.29.000
N047.26.14.000 E011.19.29.000
N047.26.11.000 E011.19.16.000
N047.26.11.000 E011.19.16.000
N047.25.54.000 E011.18.56.000
N047.25.54.000 E011.18.56.000
N047.25.48.000 E011.18.21.000
N047.25.48.000 E011.18.21.000
N047.25.50.000 E011.18.01.000
N047.25.50.000 E011.18.01.000
N047.25.42.000 E011.17.51.000
N047.25.42.000 E011.17.51.000
N047.25.40.000 E011.17.34.000
N047.25.40.000 E011.17.34.000
N047.25.25.000 E011.17.26.000
N047.25.25.000 E011.17.26.000
N047.25.16.000 E011.17.31.000
N047.25.16.000 E011.17.31.000
N047.25.05.000 E011.17.32.000
N047.25.05.000 E011.17.32.000
N047.24.41.000 E011.17.24.000
N047.24.41.000 E011.17.24.000
N047.24.23.000 E011.17.17.000
N047.24.23.000 E011.17.17.000
N047.24.02.000 E011.16.48.000
N047.24.02.000 E011.16.48.000
N047.23.51.000 E011.16.03.000
N047.23.51.000 E011.16.03.000
N047.23.53.000 E011.15.34.000
N047.23.53.000 E011.15.34.000
N047.23.51.000 E011.13.58.000
N047.23.51.000 E011.13.58.000
N047.23.42.000 E011.13.29.000
N047.23.42.000 E011.13.29.000
N047.23.53.000 E011.13.22.000
N047.23.53.000 E011.13.22.000
N047.24.11.000 E011.13.40.000
N047.24.11.000 E011.13.40.000
N047.24.19.000 E011.13.49.000
N047.24.19.000 E011.13.49.000
N047.24.32.000 E011.13.56.000
N047.24.32.000 E011.13.56.000
N047.24.42.000 E011.14.03.000
N047.24.42.000 E011.14.03.000
N047.24.56.000 E011.14.23.000
N047.24.56.000 E011.14.23.000
N047.25.15.000 E011.14.39.000
N047.25.15.000 E011.14.39.000
N047.25.39.000 E011.15.12.000
N047.25.39.000 E011.15.12.000
N047.25.56.000 E011.14.11.000
N047.25.56.000 E011.14.11.000
N047.25.53.000 E011.13.18.000
N047.25.53.000 E011.13.18.000
N047.26.02.000 E011.12.25.000
N047.26.02.000 E011.12.25.000
N047.25.39.000 E011.11.52.000
N047.25.39.000 E011.11.52.000
N047.25.31.000 E011.10.38.000
N047.25.31.000 E011.10.38.000
N047.25.20.000 E011.10.08.000
N047.25.20.000 E011.10.08.000
N047.25.09.000 E011.09.01.000
N047.25.09.000 E011.09.01.000
N047.24.56.000 E011.08.33.000
N047.24.56.000 E011.08.33.000
N047.24.45.000 E011.07.50.000
N047.24.45.000 E011.07.50.000
N047.24.29.000 E011.07.26.000
N047.24.29.000 E011.07.26.000
N047.24.02.000 E011.07.23.000
N047.24.02.000 E011.07.23.000
N047.23.53.000 E011.07.19.000
N047.23.53.000 E011.07.19.000
N047.23.44.000 E011.06.15.000
N047.23.44.000 E011.06.15.000
N047.23.42.000 E011.05.45.000
N047.23.42.000 E011.05.45.000
N047.23.45.000 E011.04.23.000
N047.23.45.000 E011.04.23.000
N047.23.47.000 E011.03.42.000
N047.23.47.000 E011.03.42.000
N047.23.46.000 E011.03.12.000
N047.23.46.000 E011.03.12.000
N047.23.41.000 E011.02.35.000
N047.23.41.000 E011.02.35.000
N047.23.46.000 E011.02.13.000
N047.23.46.000 E011.02.13.000
N047.23.37.000 E011.01.46.000
N047.23.37.000 E011.01.46.000
N047.23.49.000 E011.01.24.000
N047.23.49.000 E011.01.24.000
N047.23.41.000 E011.00.41.000
N047.23.41.000 E011.00.41.000
N047.23.43.000 E010.59.38.000
N047.23.43.000 E010.59.38.000
N047.23.44.000 E010.59.18.000
N047.23.44.000 E010.59.18.000
N047.23.48.000 E010.58.47.000
N047.23.48.000 E010.58.47.000
N047.24.09.000 E010.58.14.000
N047.24.09.000 E010.58.14.000
N047.24.29.000 E010.58.15.000
N047.24.29.000 E010.58.15.000
N047.25.02.000 E010.58.18.000
N047.25.02.000 E010.58.18.000
N047.25.15.000 E010.59.04.000
N047.25.15.000 E010.59.04.000
N047.26.54.000 E010.57.38.000
N047.26.54.000 E010.57.38.000
N047.27.22.000 E010.57.04.000
N047.27.22.000 E010.57.04.000
N047.28.00.000 E010.56.05.000
N047.28.00.000 E010.56.05.000
N047.28.18.000 E010.55.41.000
N047.28.18.000 E010.55.41.000
N047.28.47.000 E010.56.18.000
N047.28.47.000 E010.56.18.000
N047.28.58.000 E010.55.57.000
N047.28.58.000 E010.55.57.000
N047.29.00.000 E010.55.13.000
N047.29.00.000 E010.55.13.000
N047.29.02.000 E010.54.58.000
N047.29.02.000 E010.54.58.000
N047.29.06.000 E010.54.33.000
N047.29.06.000 E010.54.33.000
N047.28.59.000 E010.53.55.000
N047.28.59.000 E010.53.55.000
N047.28.57.000 E010.53.37.000
N047.28.57.000 E010.53.37.000
N047.28.50.000 E010.53.13.000
N047.28.50.000 E010.53.13.000
N047.28.46.000 E010.52.48.000
N047.28.46.000 E010.52.48.000
N047.28.49.000 E010.52.35.000
N047.28.49.000 E010.52.35.000
N047.28.53.000 E010.52.17.000
N047.28.53.000 E010.52.17.000
N047.29.18.000 E010.52.10.000
N047.29.18.000 E010.52.10.000
N047.29.39.000 E010.52.15.000
N047.29.39.000 E010.52.15.000
N047.29.53.000 E010.52.12.000
N047.29.53.000 E010.52.12.000
N047.30.02.000 E010.52.23.000
N047.30.02.000 E010.52.23.000
N047.30.14.000 E010.52.51.000
N047.30.14.000 E010.52.51.000
N047.30.24.000 E010.53.21.000
N047.30.24.000 E010.53.21.000
N047.30.27.000 E010.53.35.000
N047.30.27.000 E010.53.35.000
N047.30.49.000 E010.55.04.000
N047.30.49.000 E010.55.04.000
N047.31.02.000 E010.55.06.000
N047.31.02.000 E010.55.06.000
N047.31.06.000 E010.54.40.000
N047.31.06.000 E010.54.40.000
N047.31.05.000 E010.54.15.000
N047.31.05.000 E010.54.15.000
N047.31.15.000 E010.54.03.000
N047.31.15.000 E010.54.03.000
N047.31.49.000 E010.53.33.000
N047.31.49.000 E010.53.33.000
N047.32.08.000 E010.52.00.000
N047.32.08.000 E010.52.00.000
N047.32.02.000 E010.51.26.000
N047.32.02.000 E010.51.26.000
N047.31.60.000 E010.51.11.000
N047.31.60.000 E010.51.11.000
N047.31.48.000 E010.50.48.000
N047.31.48.000 E010.50.48.000
N047.31.39.000 E010.50.23.000
N047.31.39.000 E010.50.23.000
N047.31.41.000 E010.50.03.000
N047.31.41.000 E010.50.03.000
N047.31.33.000 E010.48.58.000
N047.31.33.000 E010.48.58.000
N047.31.27.000 E010.48.39.000
N047.31.27.000 E010.48.39.000
N047.31.10.000 E010.48.34.000
N047.31.10.000 E010.48.34.000
N047.31.14.000 E010.48.05.000
N047.31.14.000 E010.48.05.000
N047.31.16.000 E010.47.43.000
N047.31.16.000 E010.47.43.000
N047.31.04.000 E010.47.07.000
N047.31.04.000 E010.47.07.000
N047.30.58.000 E010.46.56.000
N047.30.58.000 E010.46.56.000
N047.30.57.000 E010.46.32.000
N047.30.57.000 E010.46.32.000
N047.31.08.000 E010.45.54.000
N047.31.08.000 E010.45.54.000
N047.31.22.000 E010.45.44.000
N047.31.22.000 E010.45.44.000
N047.31.37.000 E010.45.48.000
N047.31.37.000 E010.45.48.000
N047.31.57.000 E010.45.36.000
N047.31.57.000 E010.45.36.000
N047.32.05.000 E010.45.13.000
N047.32.05.000 E010.45.13.000
N047.32.14.000 E010.45.03.000
N047.32.14.000 E010.45.03.000
N047.32.18.000 E010.44.27.000
N047.32.18.000 E010.44.27.000
N047.32.16.000 E010.44.05.000
N047.32.16.000 E010.44.05.000
N047.32.17.000 E010.43.53.000
N047.32.17.000 E010.43.53.000
N047.32.15.000 E010.43.27.000
N047.32.15.000 E010.43.27.000
N047.32.26.000 E010.42.56.000
N047.32.26.000 E010.42.56.000
N047.32.33.000 E010.42.42.000
N047.32.33.000 E010.42.42.000
N047.32.38.000 E010.42.17.000
N047.32.38.000 E010.42.17.000
N047.32.41.000 E010.41.40.000
N047.32.41.000 E010.41.40.000
N047.33.21.000 E010.41.32.000
N047.33.21.000 E010.41.32.000
N047.33.29.000 E010.41.14.000
N047.33.29.000 E010.41.14.000
N047.33.25.000 E010.40.39.000
N047.33.25.000 E010.40.39.000
N047.33.30.000 E010.39.51.000
N047.33.30.000 E010.39.51.000
N047.33.33.000 E010.38.30.000
N047.33.33.000 E010.38.30.000
N047.33.40.000 E010.37.33.000
N047.33.40.000 E010.37.33.000
N047.33.55.000 E010.37.20.000
N047.33.55.000 E010.37.20.000
N047.33.59.000 E010.36.52.000
N047.33.59.000 E010.36.52.000
N047.33.57.000 E010.36.36.000
N047.33.57.000 E010.36.36.000
N047.34.02.000 E010.36.17.000
N047.34.02.000 E010.36.17.000
N047.34.05.000 E010.36.03.000
N047.34.05.000 E010.36.03.000
N047.34.01.000 E010.35.44.000
N047.34.01.000 E010.35.44.000
N047.33.49.000 E010.35.35.000
N047.33.49.000 E010.35.35.000
N047.33.27.000 E010.35.03.000
N047.33.27.000 E010.35.03.000
N047.33.20.000 E010.34.54.000
N047.33.20.000 E010.34.54.000
N047.33.16.000 E010.34.47.000
N047.33.16.000 E010.34.47.000
N047.33.04.000 E010.34.50.000
N047.33.04.000 E010.34.50.000
N047.32.24.000 E010.34.38.000
N047.32.24.000 E010.34.38.000
N047.32.01.000 E010.34.09.000
N047.32.01.000 E010.34.09.000
N047.32.04.000 E010.33.47.000
N047.32.04.000 E010.33.47.000
N047.32.10.000 E010.33.35.000
N047.32.10.000 E010.33.35.000
N047.32.11.000 E010.32.11.000
N047.32.11.000 E010.32.11.000
N047.32.25.000 E010.29.20.000
N047.32.25.000 E010.29.20.000
N047.33.09.000 E010.27.37.000
N047.33.09.000 E010.27.37.000
N047.33.21.000 E010.27.19.000
N047.33.21.000 E010.27.19.000
N047.33.47.000 E010.27.46.000
N047.33.47.000 E010.27.46.000
N047.34.12.000 E010.28.15.000
N047.34.12.000 E010.28.15.000
N047.34.40.000 E010.28.13.000
N047.34.40.000 E010.28.13.000
N047.34.45.000 E010.28.23.000
N047.34.45.000 E010.28.23.000
N047.35.04.000 E010.28.55.000
N047.35.04.000 E010.28.55.000
N047.35.12.000 E010.28.20.000
N047.35.12.000 E010.28.20.000
N047.35.08.000 E010.27.44.000
N047.35.08.000 E010.27.44.000
N047.34.57.000 E010.27.20.000
N047.34.57.000 E010.27.20.000
N047.35.02.000 E010.26.43.000
N047.35.02.000 E010.26.43.000
N047.35.03.000 E010.26.19.000
N047.35.03.000 E010.26.19.000
N047.34.52.000 E010.25.58.000
N047.34.52.000 E010.25.58.000
N047.34.45.000 E010.26.07.000
N047.34.45.000 E010.26.07.000
N047.34.21.000 E010.26.00.000
N047.34.21.000 E010.26.00.000
N047.34.10.000 E010.25.59.000
N047.34.10.000 E010.25.59.000
N047.34.04.000 E010.26.07.000
N047.34.04.000 E010.26.07.000
N047.33.16.000 E010.27.04.000
N047.33.16.000 E010.27.04.000
N047.31.24.000 E010.26.19.000
N047.31.24.000 E010.26.19.000
N047.30.48.000 E010.26.25.000
N047.30.48.000 E010.26.25.000
N047.30.24.000 E010.26.07.000
N047.30.24.000 E010.26.07.000
N047.29.25.000 E010.26.17.000
N047.29.25.000 E010.26.17.000
N047.29.16.000 E010.26.26.000
N047.29.16.000 E010.26.26.000
N047.29.02.000 E010.26.40.000
N047.29.02.000 E010.26.40.000
N047.29.03.000 E010.27.14.000
N047.29.03.000 E010.27.14.000
N047.28.57.000 E010.27.49.000
N047.28.57.000 E010.27.49.000
N047.28.38.000 E010.28.01.000
N047.28.38.000 E010.28.01.000
N047.28.30.000 E010.28.00.000
N047.28.30.000 E010.28.00.000
N047.27.53.000 E010.27.59.000
N047.27.53.000 E010.27.59.000
N047.27.39.000 E010.28.03.000
N047.27.39.000 E010.28.03.000
N047.27.16.000 E010.28.00.000
N047.27.16.000 E010.28.00.000
N047.27.01.000 E010.28.02.000
N047.27.01.000 E010.28.02.000
N047.26.41.000 E010.28.12.000
N047.26.41.000 E010.28.12.000
N047.26.26.000 E010.28.19.000
N047.26.26.000 E010.28.19.000
N047.25.58.000 E010.28.33.000
N047.25.58.000 E010.28.33.000
N047.25.54.000 E010.28.19.000
N047.25.54.000 E010.28.19.000
N047.25.46.000 E010.27.52.000
N047.25.46.000 E010.27.52.000
N047.25.24.000 E010.27.22.000
N047.25.24.000 E010.27.22.000
N047.25.04.000 E010.27.08.000
N047.25.04.000 E010.27.08.000
N047.24.48.000 E010.26.18.000
N047.24.48.000 E010.26.18.000
N047.24.28.000 E010.26.12.000
N047.24.28.000 E010.26.12.000
N047.24.07.000 E010.25.52.000
N047.24.07.000 E010.25.52.000
N047.23.49.000 E010.25.54.000
N047.23.49.000 E010.25.54.000
N047.23.42.000 E010.25.50.000
N047.23.42.000 E010.25.50.000
N047.23.27.000 E010.25.45.000
N047.23.27.000 E010.25.45.000
N047.23.02.000 E010.25.51.000
N047.23.02.000 E010.25.51.000
N047.23.03.000 E010.25.28.000
N047.23.03.000 E010.25.28.000
N047.22.48.000 E010.24.60.000
N047.22.48.000 E010.24.60.000
N047.22.40.000 E010.24.34.000
N047.22.40.000 E010.24.34.000
N047.22.39.000 E010.24.02.000
N047.22.39.000 E010.24.02.000
N047.22.28.000 E010.23.36.000
N047.22.28.000 E010.23.36.000
N047.22.10.000 E010.23.19.000
N047.22.10.000 E010.23.19.000
N047.21.47.000 E010.23.10.000
N047.21.47.000 E010.23.10.000
N047.21.39.000 E010.23.12.000
N047.21.39.000 E010.23.12.000
N047.21.21.000 E010.23.08.000
N047.21.21.000 E010.23.08.000
N047.21.15.000 E010.22.60.000
N047.21.15.000 E010.22.60.000
N047.21.07.000 E010.22.42.000
N047.21.07.000 E010.22.42.000
N047.20.43.000 E010.22.15.000
N047.20.43.000 E010.22.15.000
N047.20.28.000 E010.21.52.000
N047.20.28.000 E010.21.52.000
N047.20.00.000 E010.21.23.000
N047.20.00.000 E010.21.23.000
N047.19.23.000 E010.20.48.000
N047.19.23.000 E010.20.48.000
N047.19.03.000 E010.20.55.000
N047.19.03.000 E010.20.55.000
N047.18.51.000 E010.20.26.000
N047.18.51.000 E010.20.26.000
N047.18.17.000 E010.19.49.000
N047.18.17.000 E010.19.49.000
N047.18.20.000 E010.19.26.000
N047.18.20.000 E010.19.26.000
N047.18.21.000 E010.19.07.000
N047.18.21.000 E010.19.07.000
N047.18.23.000 E010.18.53.000
N047.18.23.000 E010.18.53.000
N047.18.07.000 E010.18.24.000
N047.18.07.000 E010.18.24.000
N047.17.55.000 E010.17.52.000
N047.17.55.000 E010.17.52.000
N047.17.59.000 E010.17.44.000
N047.17.59.000 E010.17.44.000
N047.17.43.000 E010.17.32.000
N047.17.43.000 E010.17.32.000
N047.17.29.000 E010.17.08.000
N047.17.29.000 E010.17.08.000
N047.17.15.000 E010.16.42.000
N047.17.15.000 E010.16.42.000
N047.17.16.000 E010.16.04.000
N047.17.16.000 E010.16.04.000
N047.17.12.000 E010.16.00.000
N047.17.12.000 E010.16.00.000
N047.17.05.000 E010.15.47.000
N047.17.05.000 E010.15.47.000
N047.16.55.000 E010.15.37.000
N047.16.55.000 E010.15.37.000
N047.16.48.000 E010.15.02.000
N047.16.48.000 E010.15.02.000
N047.16.46.000 E010.14.47.000
N047.16.46.000 E010.14.47.000
N047.16.44.000 E010.14.43.000
N047.16.44.000 E010.14.43.000
N047.16.29.000 E010.14.26.000
N047.16.29.000 E010.14.26.000
N047.16.18.000 E010.14.17.000
N047.16.18.000 E010.14.17.000
N047.16.13.000 E010.13.56.000
N047.16.13.000 E010.13.56.000
N047.16.31.000 E010.12.27.000
N047.16.31.000 E010.12.27.000
N047.16.27.000 E010.11.44.000
N047.16.27.000 E010.11.44.000
N047.16.21.000 E010.11.33.000
N047.16.21.000 E010.11.33.000
N047.16.12.000 E010.10.42.000
N047.16.12.000 E010.10.42.000
N047.16.22.000 E010.10.25.000
N047.16.22.000 E010.10.25.000
N047.16.32.000 E010.10.30.000
N047.16.32.000 E010.10.30.000
N047.16.47.000 E010.10.25.000
N047.16.47.000 E010.10.25.000
N047.17.21.000 E010.10.29.000
N047.17.21.000 E010.10.29.000
N047.17.40.000 E010.10.41.000
N047.17.40.000 E010.10.41.000
N047.17.45.000 E010.10.54.000
N047.17.45.000 E010.10.54.000
N047.17.38.000 E010.11.23.000
N047.17.38.000 E010.11.23.000
N047.17.49.000 E010.11.48.000
N047.17.49.000 E010.11.48.000
N047.17.60.000 E010.12.09.000
N047.17.60.000 E010.12.09.000
N047.18.21.000 E010.12.34.000
N047.18.21.000 E010.12.34.000
N047.18.25.000 E010.12.36.000
N047.18.25.000 E010.12.36.000
N047.18.41.000 E010.12.52.000
N047.18.41.000 E010.12.52.000
N047.19.02.000 E010.12.39.000
N047.19.02.000 E010.12.39.000
N047.19.14.000 E010.12.32.000
N047.19.14.000 E010.12.32.000
N047.19.25.000 E010.12.15.000
N047.19.25.000 E010.12.15.000
N047.19.35.000 E010.11.58.000
N047.19.35.000 E010.11.58.000
N047.19.49.000 E010.12.20.000
N047.19.49.000 E010.12.20.000
N047.20.09.000 E010.12.24.000
N047.20.09.000 E010.12.24.000
N047.20.48.000 E010.12.47.000
N047.20.48.000 E010.12.47.000
N047.21.02.000 E010.13.03.000
N047.21.02.000 E010.13.03.000
N047.21.26.000 E010.13.21.000
N047.21.26.000 E010.13.21.000
N047.21.44.000 E010.13.33.000
N047.21.44.000 E010.13.33.000
N047.21.57.000 E010.13.45.000
N047.21.57.000 E010.13.45.000
N047.22.14.000 E010.14.05.000
N047.22.14.000 E010.14.05.000
N047.22.34.000 E010.14.07.000
N047.22.34.000 E010.14.07.000
N047.22.53.000 E010.14.05.000
N047.22.53.000 E010.14.05.000
N047.23.04.000 E010.13.60.000
N047.23.04.000 E010.13.60.000
N047.23.18.000 E010.13.45.000
N047.23.18.000 E010.13.45.000
N047.23.14.000 E010.13.34.000
N047.23.14.000 E010.13.34.000
N047.22.60.000 E010.13.09.000
N047.22.60.000 E010.13.09.000
N047.22.56.000 E010.12.58.000
N047.22.56.000 E010.12.58.000
N047.22.55.000 E010.12.34.000
N047.22.55.000 E010.12.34.000
N047.22.59.000 E010.12.08.000
N047.22.59.000 E010.12.08.000
N047.23.01.000 E010.12.03.000
N047.23.01.000 E010.12.03.000
N047.23.17.000 E010.11.43.000
N047.23.17.000 E010.11.43.000
N047.23.23.000 E010.11.14.000
N047.23.23.000 E010.11.14.000
N047.23.18.000 E010.10.54.000
N047.23.18.000 E010.10.54.000
N047.23.14.000 E010.10.52.000
N047.23.14.000 E010.10.52.000
N047.23.08.000 E010.10.20.000
N047.23.08.000 E010.10.20.000
N047.22.30.000 E010.10.08.000
N047.22.30.000 E010.10.08.000
N047.22.07.000 E010.09.57.000
N047.22.07.000 E010.09.57.000
N047.22.01.000 E010.08.30.000
N047.22.01.000 E010.08.30.000
N047.22.32.000 E010.07.09.000
N047.22.32.000 E010.07.09.000
N047.22.18.000 E010.05.32.000
N047.22.18.000 E010.05.32.000
N047.23.53.000 E010.05.10.000
N047.23.53.000 E010.05.10.000
N047.24.05.000 E010.04.53.000
N047.24.05.000 E010.04.53.000
N047.24.15.000 E010.04.43.000
N047.24.15.000 E010.04.43.000
N047.24.19.000 E010.04.30.000
N047.24.19.000 E010.04.30.000
N047.24.25.000 E010.04.19.000
N047.24.25.000 E010.04.19.000
N047.24.34.000 E010.04.13.000
N047.24.34.000 E010.04.13.000
N047.24.36.000 E010.04.14.000
N047.24.36.000 E010.04.14.000
N047.24.45.000 E010.04.18.000
N047.24.45.000 E010.04.18.000
N047.24.53.000 E010.04.43.000
N047.24.53.000 E010.04.43.000
N047.24.52.000 E010.05.00.000
N047.24.52.000 E010.05.00.000
N047.24.57.000 E010.05.21.000
N047.24.57.000 E010.05.21.000
N047.25.03.000 E010.05.40.000
N047.25.03.000 E010.05.40.000
N047.25.06.000 E010.05.43.000
N047.25.06.000 E010.05.43.000
